train_loss,train_mdn,train_contrast,test_loss
2.0442745977091836,2.0442745977091836,0.0,1.9711920111661865
1.9411284321589946,1.9411284321589946,0.0,2.0578585267066956
1.8364819773453738,1.8364819773453738,0.0,2.160707101225853
1.7375856256500763,1.7375856256500763,0.0,2.0498017250072387
1.642462740111714,1.642462740111714,0.0,1.9963507144933654
1.5669397333850141,1.5669397333850141,0.0,1.9130767601586522
1.5024284195773732,1.5024284195773732,0.0,1.824233706508364
1.448451225131178,1.448451225131178,0.0,1.818900707576956
1.4029737236403534,1.4029737236403534,0.0,1.7509200282040096
1.3632788080635803,1.3632788080635803,0.0,1.7362063498724074
1.3294943419613638,1.3294943419613638,0.0,1.6947846451685542
1.3008124485148411,1.3008124485148411,0.0,1.6891026784266745
1.2746107427983944,1.2746107427983944,0.0,1.6846333774072784
1.250719753619774,1.250719753619774,0.0,1.6606030311612856
1.2288833201365468,1.2288833201365468,0.0,1.6798655234632038
1.2082247805074695,1.2082247805074695,0.0,1.695323222095058
1.1899937212191063,1.1899937212191063,0.0,1.70218780175561
1.1730779934055675,1.1730779934055675,0.0,1.6866011027069319
1.1580070499786868,1.1580070499786868,0.0,1.7045361662194842
1.1442982222685192,1.1442982222685192,0.0,1.7576527790654273
1.1317882451058066,1.1317882451058066,0.0,1.7390945518300647
1.1205320897518918,1.1205320897518918,0.0,1.7269431441312744
1.1111680507896595,1.1111680507896595,0.0,1.763171758325327
1.1027806937339526,1.1027806937339526,0.0,1.770888304071767
1.095839584646913,1.095839584646913,0.0,1.7740387618541718
1.0909144483521471,1.0909144483521471,0.0,1.7576461193107424
1.0868257698359511,1.0868257698359511,0.0,1.755864751126085
1.0841381397174732,1.0841381397174732,0.0,1.75204674970536
1.0830120296370975,1.0830120296370975,0.0,1.768954300099895
1.0820133785866966,1.0820133785866966,0.0,1.7720133406775338
