train_loss,train_mdn,train_contrast,test_loss
1.9812080532524916,1.9812080532524916,0.0,0.0
1.7453569701001725,1.7453569701001725,0.0,0.0
1.5691122226511065,1.5691122226511065,0.0,0.0
1.445015859290001,1.445015859290001,0.0,0.0
1.3494611120590194,1.3494611120590194,0.0,0.0
1.2801780065859796,1.2801780065859796,0.0,0.0
1.225081557476841,1.225081557476841,0.0,0.0
1.1770739633829073,1.1770739633829073,0.0,0.0
1.1266885896992436,1.1266885896992436,0.0,0.0
1.0658604486329961,1.0658604486329961,0.0,0.0
0.9980221944200555,0.9980221944200555,0.0,0.0
0.9317790221723304,0.9317790221723304,0.0,0.0
0.8761708079035702,0.8761708079035702,0.0,0.0
0.8327647438758163,0.8327647438758163,0.0,0.0
0.7991052496779835,0.7991052496779835,0.0,0.0
0.7711328356591673,0.7711328356591673,0.0,0.0
0.749085481907075,0.749085481907075,0.0,0.0
0.731065102808435,0.731065102808435,0.0,0.0
0.7152768952860913,0.7152768952860913,0.0,0.0
0.7004121514446973,0.7004121514446973,0.0,0.0
0.6873831132121355,0.6873831132121355,0.0,0.0
0.6759425922141125,0.6759425922141125,0.0,0.0
0.6657124039568354,0.6657124039568354,0.0,0.0
0.6566968518858485,0.6566968518858485,0.0,0.0
0.6492054290942811,0.6492054290942811,0.0,0.0
0.6430190252133012,0.6430190252133012,0.0,0.0
0.6380375826286864,0.6380375826286864,0.0,0.0
0.6343081659363052,0.6343081659363052,0.0,0.0
0.632269099866435,0.632269099866435,0.0,0.0
0.6306966391684783,0.6306966391684783,0.0,0.0
