name,label
10gs_A_B,1
11as_A_B,1
12as_A_B,1
12gs_A_B,1
13gs_A_B,1
14gs_A_B,1
16gs_A_B,1
1a02_F_J,1
1a02_F_N,1
1a02_J_N,1
1a05_A_B,1
1a0f_A_B,1
1a0s_P_Q,1
1a0s_P_R,1
1a0s_Q_R,1
1a2d_A_B,1
1a2z_A_B,1
1a2z_A_C,1
1a2z_A_D,1
1a2z_B_C,1
1a2z_B_D,1
1a2z_C_D,1
1a3a_A_C,1
1a3w_A_B,1
1a4i_A_B,1
1a4q_A_B,1
1a4u_A_B,1
1a4x_A_B,1
1a4z_A_B,1
1a4z_A_C,1
1a4z_A_D,1
1a4z_B_C,1
1a4z_B_D,1
1a4z_C_D,1
1a5n_A_C,1
1a5n_B_C,1
1a5o_A_C,1
1a5o_B_C,1
1a5u_E_F,1
1a5u_E_G,1
1a5u_F_H,1
1a5u_G_H,1
1a69_A_C,1
1a69_B_C,1
1a79_A_B,1
1a79_A_C,1
1a79_A_D,1
1a79_B_C,1
1a79_C_D,1
1a81_A_C,1
1a81_A_E,1
1a81_C_E,1
1a88_A_B,1
1a88_A_C,1
1a88_B_C,1
1a8m_A_B,1
1a8m_A_C,1
1a8m_B_C,1
1a95_A_B,1
1a95_A_C,1
1a95_A_D,1
1a95_B_C,1
1a95_B_D,1
1a95_C_D,1
1a9x_A_B,1
1a9x_C_D,1
1a9x_E_F,1
1a9x_G_H,1
1acm_A_B,1
1acm_B_D,1
1acm_C_D,1
1ad1_A_B,1
1ady_C_D,1
1af6_A_B,1
1af6_A_C,1
1af6_B_C,1
1afw_A_B,1
1ag8_A_B,1
1ag8_A_C,1
1ag8_A_D,1
1ag8_B_C,1
1ag8_B_D,1
1ag8_C_D,1
1ag9_A_B,1
1agn_A_B,1
1agn_C_D,1
1ahg_A_B,1
1ahj_A_B,1
1ahu_A_B,1
1ahy_A_B,1
1ai6_A_B,1
1ai9_A_B,1
1aia_A_B,1
1aib_A_B,1
1aic_A_B,1
1aig_H_L,1
1aig_H_M,1
1aig_L_M,1
1aig_N_O,1
1aig_N_P,1
1aig_O_P,1
1aih_C_D,1
1aij_H_L,1
1aij_H_M,1
1aij_L_M,1
1aj8_A_B,1
1ajn_A_B,1
1ajs_A_B,1
1ajv_A_B,1
1ajx_A_B,1
1akh_A_B,1
1al2_1_2,1
1al2_1_3,1
1al2_2_4,1
1al2_3_4,1
1all_A_B,1
1alw_A_B,1
1an4_A_B,1
1an7_A_B,1
1an9_A_B,1
1aoh_A_B,1
1aoi_A_B,1
1aoi_A_E,1
1aoi_A_G,1
1aoi_B_D,1
1aoi_B_G,1
1aoi_B_H,1
1aoi_C_D,1
1aoi_C_E,1
1aoi_C_F,1
1aoi_D_F,1
1aoi_E_F,1
1aoi_F_H,1
1aoi_G_H,1
1aok_A_B,1
1aon_A_B,1
1aon_A_G,1
1aon_A_O,1
1aon_B_C,1
1aon_B_P,1
1aon_C_D,1
1aon_C_Q,1
1aon_D_E,1
1aon_D_R,1
1aon_E_F,1
1aon_E_S,1
1aon_F_G,1
1aon_F_T,1
1aon_G_U,1
1aon_H_I,1
1aon_H_N,1
1aon_I_J,1
1aon_J_K,1
1aon_K_L,1
